"id","publisher_authority","collection","url","source_type","authority_verification","languages","topics","format","level","quality_signals","date_actuality","access","license_reuse","embedding_restrictions","muslingo_applicability","priority","accessed"
"PL20","Qalam Institute","Online class recordings and Quran podcasts","https://www.qalam.institute/online-class-recordings","Public lecture/podcast archive","Official Qalam Institute recordings page and named seminary instructors","English; Arabic source text","Quran intensive; tafsir; Arabic; seerah; duas from Quran","Audio podcast; video recordings","Intermediate enrichment","Named instructors, long-running serialized audio and seminary context","Current podcast feed active in September 2026; page verified 2026-09-11","Many recordings public; intensives paid","Qalam terms restrict derivatives and resale; sharing official recordings may be encouraged case-by-case","Link/embed official media only; no derivative clips or transcript reuse without permission","Strong audio-learning and serialized-explanation benchmark; not a reading curriculum","Medium-high","2026-09-11"
"PL21","Kalimah Center","Online Arabic and Quran courses","https://kalimah-center.com/","Live teacher audiovisual platform","Official center page plus detailed named teacher profiles","Arabic; English; German and tutor-dependent languages","Quranic Arabic; reading; tajwid; hifz; grammar","One-to-one live audio/video; interactive materials; quizzes/homework","Beginner to advanced","16 Arabic levels/400+ hours, 13 Quran/tajwid levels, ijazah-certified teachers and per-level certificates","Current page and 2026 teacher/course material verified 2026-09-11","Free trial; paid packages","No open reuse license found; course material proprietary","No class recording or content reuse; referral/partnership only","Strong candidate for teacher escalation and structured-level benchmarking; Russian learner testimonial but Russian tutor supply must be confirmed","High","2026-09-11"
"PL22","Al Balagh Academy","Mastering Quranic Arabic Level 1","https://www.albalaghacademy.org/course/mastering-quranic-arabic-level-1/","Live and recorded audiovisual course","Official academy page names instructor credentials, hours, outcomes and course structure","English; Arabic","Quranic vocabulary; grammar; Salah phrases; reflection","Live classes; recordings; tutorials; app; feedback","Complete beginner/near-beginner who can read Quran","Four-level plan, 40+ teaching hours per six-month level, 1,000-word and 20+ grammar goals, cohort cap","Page verified 2026-09-11; page describes 2025 cohort and future levels, so next intake must be rechecked","Paid; scholarship route","No open reuse license found; proprietary LMS recordings/materials","No embedding or copying course recordings/materials; referral only","Strong benchmark for cohort pacing and quantified comprehension outcomes; current enrollment date needs refresh","Medium-high","2026-09-11"
"PL23","International Open University","Global Quran Memorization Center","https://iou.edu.gm/wp-content/uploads/2023/07/Prospectus-2023-SinglePage-Compressed.pdf","Institutional live Quran program","Official IOU prospectus and institutional magazine describe GQMC and ijazah program","English; Arabic; program language options should be confirmed","Hifz; tajwid; recitation; ijazah","Live one-to-one/group audio-video learning","Beginner hifz to advanced ijazah","Program operating since 2013; published prerequisites and ijazah track","Prospectus is 2023 and institutional article is 2024; current intake must be revalidated","Registration/fees vary","Copyrighted institutional material; no open reuse license","Reference/enrollment only; no copying recordings or curriculum","Authority benchmark and potential institutional partner; stale operational details require confirmation","Medium","2026-09-11"
"PL24","General Presidency for the Affairs of the Two Holy Mosques","Maqraa Al-Harmain","https://maqraa.prh.gov.sa/en","Government-supervised live Quran platform","Official Saudi government/presidency domain","Arabic; English; Spanish interface and other languages indicated","Recitation; tajwid; hifz; qiraat; ijazah","Live teacher audio/video; Mushaf audio; progress reports","Beginner to advanced","Qualified teachers, personalized plans, certificates/ijazah, performance monitoring and 24/7 sessions","Current platform verified 2026-09-11","Public registration; capacity/account conditions apply","All rights reserved/no open content reuse grant located","Service use only; no class/media reuse; link to official platform","Highest-authority live-teacher benchmark and partnership lead","High","2026-09-11"
"PL25","Oman Ministry of Endowments and Religious Affairs","Electronic Quran teaching program","https://quran.mara.gov.om/","Government live Quran platform","Official Oman ministry domain","Arabic","Quran reading; tajwid; hifz","Live teacher audio/video; instructional video","Beginner to advanced","Government operation, live lessons, motivational methodology and completion certificates","Current public portal verified 2026-09-11","Public registration; conditions apply","No open reuse license found; government-site content not assumed reusable","Link/service use only; no copied recordings or lesson assets","Arabic institutional benchmark; partnership inquiry required for content or API access","High","2026-09-11"
"PL26","Islamic Affairs and Charitable Activities Department, Dubai","A Hafiz in Every Home initiative","https://www.iacad.gov.ae/en/initiatives/quran-teaching-and-memorization","Government Quran program","Official Dubai government department page","Arabic; service language Arabic confirmed","Recitation correction; tajwid; hifz; qiraat; ijazah","Remote and in-person teacher instruction; self-learning","Basic to advanced","Published levels, duration ranges, post-stage assessments and certification/sanad paths","2026 initiative details verified 2026-09-11","Registration/capacity rules apply","Reference only; no reuse grant","No copying of program media/curriculum; official referral or partnership","High-authority benchmark for placement levels and certification ladders","High","2026-09-11"
"PL27","UAE General Authority of Islamic Affairs, Endowments and Zakat","Quran education services","https://www.awqaf.gov.ae/assets/servicesguide/ServicesGuide-EN.pdf","Government service guide / teacher platform","Official UAE authority domain and service guide","Arabic; English guide","Quran memorization; tajwid; recitation improvement; certification","Remote/in-person instruction; audio recitation interaction","Beginner to advanced","Official centers/platform, semesters and certification/authorization services","Service guide published in 2025/2026 period and verified 2026-09-11","Registration/capacity conditions apply","Reference only; no open reuse grant located","No republishing of guide/media or class recordings without permission","Government benchmark and possible referral partner; exact current digital endpoint should be confirmed","High","2026-09-11"
"PL28","Furqan Association for Quran Memorization in Taif","Furqan electronic Maqraa","https://www.comqt.sa/quran-online/","Association live Quran platform","Official association page and linked official channel","Arabic","Hifz; revision; tajwid theory; recitation correction; ijazah","Live synchronous audio/video circles","Beginner to advanced","Separate male/female portals and explicit circle types; teacher/student supervision","Current page and active channel verified 2026-09-11","Registration-based","No open reuse license found","Service/link only; no class recording or curriculum copying","Good Arabic halaqah operations benchmark; partnership inquiry required","Medium-high","2026-09-11"
"PL29","maqraa.org","Open-source live Quran teaching platform","https://maqraa.org/en/","Open-source teaching platform","Official project page","Arabic; English","Tajwid; memorization; review; recitation","Live audio/video halaqah tooling","Teachers and learners","Quran-specific circle scheduling, teacher invites and free hosted option; project identifies itself as open source","Current site verified 2026-09-11; YouTube archive dormant","Free hosted platform; source availability stated","Open-source claim requires repository/license verification before code reuse; lesson content remains teacher-owned","Do not record or reuse sessions without participant consent; platform mechanics may be reusable under confirmed code license","High-value product/architecture benchmark for human review workflows","High","2026-09-11"
"PL30","Quran.Foundation / Quran.com","Quran.com audio recitations","https://quran.com/about-us?locale=en","Nonprofit recitation platform and API ecosystem","Official Quran.com about page; managed by Quran.Foundation, a 501(c)(3) nonprofit/waqf","Multiple interface/translation languages; Arabic recitation","Ayah/surah recitation; word-level follow along; reading goals","Streaming audio; word-level timing; web/app; APIs","All levels","Named nonprofit governance, world-renowned reciters, word-level audio and developer program","Current page verified 2026-09-11","Free","Developer terms govern API use, caching, attribution and commercial limitations; underlying recording rights vary","Use approved endpoints/Connected Apps rules; do not assume blanket offline or commercial rights","Top metadata/audio integration candidate after developer approval and recording-level rights review","High","2026-09-11"
"PL31","King Fahd Glorious Quran Printing Complex","Official Quran audio recitations","https://qc-dev.qurancomplex.gov.sa/quran-audios/","Government/official audio library","Official King Fahd Complex domain; recordings reviewed by specialist committee","Arabic; multiple riwayat; separate audio translations exist in several languages","Full Quran recitation; riwayat; educational audio","Downloadable/streamable audio","All levels","Approved reciters, multiple riwayat and explicit institutional review of recordings","Page and use-rights statement verified 2026-09-11","Public/free","Page explicitly permits listed digital recitations for general free use in apps, websites, radio and private/government works worldwide; retain source and file-specific terms","Native use appears permitted for listed recordings; still archive the exact rights statement and file provenance before ingestion","Best legally actionable native-audio candidate for Muslingo; prioritize Hafs slow/teaching reciters and provenance manifest","Highest","2026-09-11"
"PL32","MP3Quran.net","Quran audio library and API v3","https://www.mp3quran.net/eng/api","Public audio API/library","Official MP3Quran API page and contact permission statement","Arabic recitations; API metadata in Arabic, English, Russian and many other languages","Reciters; surahs; riwayat; radios; video types","Streaming/download URLs; JSON API","All levels","Large reciter/riwayah catalogue, current API records and multilingual metadata","API data observed current through 2025-2026; verified 2026-09-11","Free/public","Official contact page says rights are available to everyone and copying site material/using URLs is allowed; retain proof and seek written confirmation for commercial offline bundling","Use official server URLs/API; avoid hotlink load abuse; confirm per-recording provenance and commercial/offline scope","Strong backup/expansion audio source after written commercial clarification","High","2026-09-11"
"PL33","Quran Central / Muslim Central","Quran Central audio catalogue","https://qurancentral.com/","Public audio platform","Official Quran Central site","Arabic; multilingual site metadata","Recitation; memorization repetition; curated Quran videos","Streaming audio; apps; selected offline listening","All levels","600+ reciters claimed, ad-free playback, murattal/mujawwad and memorization features","Current page verified 2026-09-11","Free; offline in official app","No blanket recording reuse license found; reciter rights may vary","Link/official app only unless recording-specific license is obtained; do not mirror audio","Discovery and UX benchmark, not a default native-audio source","Medium-high","2026-09-11"
"PL34","Tarteel / Quranic Universal Library","Recitation datasets and timing resources","https://qul.tarteel.ai/docs/tutorial-recitation-end-to-end","Developer audio/data library","Official QUL documentation from Tarteel","Arabic; metadata varies","Gapped/gapless recitation; ayah/word timing; Quran data","Downloadable datasets and developer documentation","Developer/integration","Explicit end-to-end guide, self-hosting model and word/ayah timing resources","Current docs verified 2026-09-11","Public catalogue; dataset access varies","Dataset-specific licenses; MIT repository code does not license every dataset; FAQ warns to verify commercial rights","Documentation says not to hotlink recitation assets; self-host only licensed resources","Excellent technical metadata/timing candidate after per-dataset license audit","High","2026-09-11"
"PL35","AlQuran.cloud","Audio editions API","https://alquran.cloud/api","Public Quran API","Official service documentation and contributors page","Arabic audio; multilingual edition metadata","Ayah/surah recitation and Quran editions","JSON API; audio URLs","All levels/developer","Keyless API, edition catalogue and named data/audio contributors","Current terms and API verified 2026-09-11","Free/public","Service terms apply and do not automatically grant all underlying recording rights; attribution/provenance required","Use API conservatively; no blanket rehosting/offline assumption","Prototype/discovery source only until edition-level rights are documented","Medium","2026-09-11"
"PL36","HIFZ","HIFZ memorization methodology and app","https://gethifz.com/support","Interactive hifz platform","Official product support page","English; Quran Arabic","Sabaq; Sabqi; Manzil; listen-read-repeat-recall; scheduling","Interactive app audio; memorization tests","Beginner to advanced hifz","Explicit traditional revision model translated into a digital workflow and error journal","Current support page verified 2026-09-11","Product access varies","Proprietary; no open media/curriculum reuse grant found","Benchmark only; no content extraction or reverse engineering","Strong Hafiz Mode algorithm benchmark for balancing new, recent and old revision","High","2026-09-11"
"PL37","Tasmi","Tasmi Quran hifz practice","https://www.tasmi.app/","Voice-learning web app","Official product page","English; Quran Arabic","Hifz; word-level recitation matching; teacher/parent assignments","Browser microphone; interactive audio/voice","Beginner to intermediate hifz","No-signup Al-Fatihah trial, word-level matched/missed/wrong feedback, explicit honesty that it does not grade tajwid","Current page verified 2026-09-11","Free trial; account features","Proprietary; no open model/content reuse license located","Do not reverse engineer or reuse recordings; benchmark only","Excellent honesty/calibration benchmark for Muslingo speech scoring and guardian/teacher review","High","2026-09-11"
"PL38","Quran Flow","Personalized Quran learning program","https://quranflow.org/","Coached audiovisual learning platform","Official program page","English; Arabic","Reading; tajwid; memorization; personalized plans","Live coaching; assessments; audio/video practice","Four skill levels","Placement, coaching, circles and published level progression","Current page verified 2026-09-11","Paid","Policy grants limited personal use and prohibits derivatives/redistribution","No embedding or reuse of course media; referral/partnership only","Benchmark personalized coaching and placement; content reuse not viable without contract","Medium-high","2026-09-11"
"PL39","Zayenha Hub","Zayenha Quran learning platform","https://quran.zayenha.com/?lang=en","Interactive Quran learning platform","Official Zayenha product page and linked channel","Arabic; English interface","Tajwid; hifz; reflection; Quran sciences","Interactive cards; tools; audio/video links; PWA","Beginner to advanced","Claims 1,076 verified cards, 42 tools, all 114 surahs and nine categories; path selection and hifz tools","Current page verified 2026-09-11","Free/public","No clear open content license located; verification claims require source-level sampling","Link/benchmark only until rights and scholarly governance are documented","Broad feature/content benchmark; audit sample cards before treating as authority","Medium","2026-09-11"
"PL40","IQRA Network","IQRA Network Quran learning platform","https://iqranetwork.com/","Education platform / audiovisual instruction","Official platform linked to official channel","English; Arabic","Quran reading; tajwid; Arabic; children's Islamic learning","Live/recorded video; audio; school resources","Children; beginners; families","Established education brand, child-focused visual media and structured learning offerings","Active official channel and current site verified 2026-09-11","Public samples; services/products vary","No blanket open reuse license found","Official player/link only; no copying children's media or curriculum","Good child pedagogy and animation benchmark; review curriculum and safeguarding before partnership","Medium-high","2026-09-11"
"PL41","Quran.Foundation / Quran.com","Quran.com Learning Plans","https://quran.com/learning-plans","Structured digital learning collection","Official Quran.com feature under nonprofit Quran.Foundation","English and plan-dependent; Quran Arabic","Memorization; surah meaning; reading habits; thematic Quran learning","Text with linked recitation/audio and interactive progress","Beginner to intermediate","Short guided plans connected to trusted Quran text/audio and user progress","Current feature linked from official Quran.com channels in 2026; verified 2026-09-11","Free/account features","Quran.com developer/content terms apply; plan text is not automatically reusable","Deep-link plans or use approved APIs; no copying plan content without permission","Benchmark for short guided programs that connect source, audio and progress","High","2026-09-11"
