id,domain,evidence_tier,citation,url_or_doi,year,population_language,method,finding,causal_interpretation,limitation,license_data_availability,concrete_implication_for_muslingo
ASR01,Quran speech dataset,Dataset paper,"Lataifeh, M., & Elnagar, A. Ar-DAD: Arabic diversified audio dataset. Data in Brief, 33, 106503.",https://doi.org/10.1016/j.dib.2020.106503,2020,"15,810 clips from 30 prominent Quran reciters covering 37 surahs; 379 imitation clips from 12 imitators","Public dataset construction from EveryAyah with reciter/imitator organization and text files","Provides a reproducible professional-recitation corpus for ASR/speaker research and a limited imitation subset.","Dataset availability is not evidence that a model trained on it can assess learner pronunciation.","Mostly expert male reciters; narrow surah coverage; lacks real novice error labels, children, balanced women and device metadata.","Dataset released on Mendeley Data under CC BY 4.0: https://doi.org/10.17632/3kndp5vs6b.3; source-audio provenance still requires due diligence.","Use only for canonical/acoustic pretraining; never use it alone to set learner-error thresholds or claim demographic fairness."
ASR02,Quran learner speech dataset,Dataset paper/preprint,"Salameh, R., Al Mdfaa, M., Askarbekuly, N., & Mazzara, M. Quranic Audio Dataset: Crowdsourced and Labeled Recitation from Non-Arabic Speakers.",https://arxiv.org/abs/2405.02675,2024,"About 7,000 recitations from 1,287 participants in 11+ non-Arabic countries; 1,166 recordings annotated","Volunteer crowdsourcing through NamazApp and Quran Voice; six-category annotation with crowd/expert agreement checks","Demonstrates collection of diverse non-native recitation and reports crowd accuracy 0.77, inter-rater agreement 0.63, and algorithm-expert agreement 0.89.","Agreement on the sampled labels does not prove pedagogical benefit or phoneme/tajwid-level diagnostic validity.","Only a subset is annotated; demographic/device/child coverage and class balance need auditing; preprint not a randomized learning study.","Dataset page: https://huggingface.co/datasets/RetaSy/quranic_audio_dataset; no explicit machine-readable licence found as of 2026-09-11, so commercial use requires written permission.","Candidate for an evaluation partnership after consent/licence audit; use stratified expert relabeling and never infer missing demographic balance."
ASR03,Arabic pronunciation benchmark,Benchmark paper/preprint,"El Kheir, Y., et al. Towards a Unified Benchmark for Arabic Pronunciation Assessment: Quranic Recitation as Case Study.",https://arxiv.org/abs/2506.07722,2025,"QuranMB.v1: 98 Quran verses, 18 native Arabic speakers (14 women, 4 men), about 2.2 hours; additional MSA resources","Specialized MSA phoneme inventory, processing pipeline, public test set and baseline phoneme-level models","Creates a standardized phoneme-level mispronunciation benchmark and exposes substantial remaining model errors.","Benchmark scores measure agreement with its labels; they do not establish learning gains or complete tajwid coverage.","Small test set; native speakers; limited verses and recitation rules; no children/non-native beginners; possible domain leakage must be controlled.","Official repo: https://github.com/Iqra-Eval/interspeech_IqraEval; train data public, test access governed by challenge; no explicit commercial licence in repo/HF card as of 2026-09-11.","Adopt its phoneme-error definitions and leakage controls for R&D, but secure licensing and add non-native/child/device strata before production."
ASR04,Arabic pronunciation shared task,Benchmark report,"El Kheir, Y., et al. Iqra'Eval: A Shared Task on Qur'anic Pronunciation Assessment. Proceedings of ArabicNLP 2025 Shared Tasks.",https://aclanthology.org/2025.arabicnlp-sharedtasks.61/,2025,"82.37 hours MSA Common Voice subset; synthetic correct/error TTS; QuranMB human test of 18 speakers","Shared-task dataset, fixed train/dev/test protocol and phoneme-error evaluation","Provides comparable systems and shows that authentic human mispronunciation remains harder than synthetic or canonical speech.","Leaderboard improvement is model evidence, not educational efficacy.","Training errors are partly synthetic; small human Quran test; demographic and tajwid-rule coverage remain narrow.","ACL Anthology paper openly available; underlying Common Voice has its own terms; Iqra datasets lack a clear commercial licence.","Keep synthetic errors for augmentation only; production acceptance must be driven by held-out authentic learner errors and per-group false-positive rates."
ASR05,Quran pronunciation model,Shared-task system paper,"Meghanani, A., et al. Hafs2Vec: A System for the Iqra'Eval Arabic and Qur'anic Phoneme-level Pronunciation Assessment. Proceedings of ArabicNLP 2025 Shared Tasks.",https://aclanthology.org/2025.arabicnlp-sharedtasks.62/,2025,"Iqra'Eval data plus about 94 hours from 28 professional reciters; QuranMB human test","CTC/representation-learning system with augmented professional recitation; evaluated for phoneme-level error detection","Reported QuranMB F1 was 46.50% with recall 79.20%, illustrating high miss/false-alarm trade-offs despite strong recall.","System metrics do not establish safe learner feedback; an F1 below 0.5 is incompatible with unqualified corrective claims.","Professional audio dominates augmentation; small human test; speaker and rule subgroup results are limited.","ACL paper open; code/data components inherit Iqra/EveryAyah/QUL terms and require separate licence review.","Use as a baseline and evidence for an abstain/human-review path; do not expose rule-level correction unless precision meets a predeclared safety target."
ASR06,Quran ASR,Model paper/preprint,"Al Harere, A., & Al Jallad, K. Quran Recitation Recognition using End-to-End Deep Learning.",https://arxiv.org/abs/2305.07034,2023,"Ar-DAD professional reciters: 30 reciters, 37 surahs","CNN-bidirectional-GRU encoder with CTC and character beam-search decoder; WER/CER evaluation","Reported 8.34% WER and 2.42% CER on the study split.","Low transcript error on professional reciters does not imply detection of subtle makhraj, madd, ghunnah or novice errors.","Potential speaker/ayah leakage must be independently checked; expert-reciter corpus; no learner-error or fairness evaluation.","Preprint; code/model licence not stated in the paper record; underlying Ar-DAD is CC BY 4.0.","Separate recitation-following/transcript completeness from pronunciation/tajwid scoring; split by reciter and ayah when benchmarking."
ASR07,Quran recitation training,Prototype evaluation,"Tabbaa, H. M. A., & Soudan, B. Computer-Aided Training for Quranic Recitation. Procedia - Social and Behavioral Sciences, 192, 778-787.",https://doi.org/10.1016/j.sbspro.2015.06.092,2015,"Quran recitation samples used in an ASR-plus-classifier prototype; population details limited in public abstract","ASR integrated with a classifier to detect continuous-recitation errors","Shows technical feasibility of combining recognition and error classification for a training prototype.","Prototype accuracy does not establish learner improvement or generalization across reciters/devices.","Small/opaque corpus, old ASR, limited external validation and no robust demographic breakdown.","Open access under CC BY-NC-ND 4.0; training data/software not openly released.","Treat as historical architecture evidence only; require modern preregistered external evaluation before any pedagogical claim."
ASR08,Quran multimodal dataset,Dataset preprint,"Salman, M. U., Qazi, M. A., & Alam, M. T. Quran-MD: A Fine-Grained Multilingual Multimodal Dataset of the Quran.",https://arxiv.org/abs/2601.17880,2026,"6,236 ayat and word-level records; about 264,509 MP3 files from 30 reciters; Arabic, English and transliteration","Compilation of verse audio, word alignment/segments, text, translation and transliteration","Offers unusually fine-grained word/ayah media useful for playback, alignment and pretraining.","Resource scale does not validate automatic tajwid feedback.","Professional-reciter-only design; README/paper differ on 30 versus 32 reciters; source alignment and speaker independence require audit.","Dataset: https://huggingface.co/datasets/Buraaq/quran-audio-text-dataset; no explicit licence in the HF card as of 2026-09-11, so do not use commercially without clarification.","Useful after provenance/licence reconciliation for word audio and forced alignment; block production ingestion until counts and rights are resolved."
ASR09,Quran large-scale speech dataset,Dataset preprint,"Alherran, F. Tadabur: A Large-Scale Quran Audio Dataset.",https://arxiv.org/abs/2604.18932,2026,"More than 1,400 hours from 600+ reciters; full Quran; word-level automatic alignment","Large-scale aggregation and alignment pipeline with metadata and baseline model","Greatly increases reciter/acoustic diversity for Quran ASR pretraining and benchmark construction.","A larger canonical corpus does not itself improve or validate learner-error diagnosis.","Reciter demographics and learner proficiency are not established; alignments are automatic; source-rights provenance needs item-level review.","Official repo https://github.com/fherran/tadabur declares CC BY-NC 4.0; non-commercial, so incompatible with direct commercial training without permission.","Use for research-only robustness experiments; seek a commercial licence or build a consented Muslingo corpus before production."
ASR10,Quran pronunciation assessment,Dataset/model preprint,"Abdelfattah, A., Khalil, M. I., & Abbas, H. Automatic Pronunciation Error Detection and Correction of the Holy Quran's Learners Using Deep Learning.",https://arxiv.org/abs/2509.00094,2025,"848 hours/286K utterances mainly expert recitation; qdat_bench has 159 real-error samples","Automated data pipeline, Quran Phonetic Script, multi-level CTC, and benchmark across phonemes/diacritics/tajwid rules","Reports 1.94% phoneme error on qdat_bench and 75.8% Tajweed F1; releases code and models.","Model/benchmark performance is promising engineering evidence, not proof that corrections improve learners or are safe across groups.","Real-error benchmark is only 159 samples; expert-heavy training; unclear age/gender/L1/device balance; independent replication pending.","Official repo https://github.com/obadx/quran-muaalem is MIT; underlying datasets/audio retain their own licences and provenance obligations.","Reproduce on a leakage-free Muslingo holdout, audit rule-level precision and expert agreement, then enable only validated rules behind confidence thresholds."
ASR11,Arabic pronunciation benchmark,Benchmark challenge preprint,"El Kheir, Y., et al. IQRA 2026: Interspeech Challenge on Automatic Pronunciation Assessment for Modern Standard Arabic (MSA).",https://arxiv.org/abs/2603.29087,2026,"MSA/Quran challenge resources plus Iqra_Extra_IS26 authentic human mispronunciations","Second challenge edition comparing CTC, self-supervised and audio-language-model systems on fixed MDD tasks","Authentic human-error data accompanied a reported 0.28 F1 improvement over the first edition, showing both data and modeling progress.","Cross-edition gain cannot be attributed solely to one factor and does not prove classroom efficacy.","Challenge data access/licensing and full subgroup composition require confirmation; benchmark may not cover tajwid comprehensively.","Paper preprint open; challenge repository/data terms govern use and do not currently provide a clear commercial licence.","Track the benchmark, but freeze Muslingo's own independent multilingual learner test set so public-challenge tuning cannot become the product test."
A11Y01,Digital accessibility,Official technical standard,"W3C. Web Content Accessibility Guidelines (WCAG) 2.2. W3C Recommendation, 12 December 2024.",https://www.w3.org/TR/WCAG22/,2024,"Web and mobile content for people with visual, auditory, motor, speech, cognitive and learning disabilities","Consensus technical standard with testable A/AA/AAA success criteria","Defines requirements for text alternatives, captions/transcripts, contrast, reflow, target size, keyboard access, focus, predictable navigation and error assistance.","WCAG conformance demonstrates technical accessibility criteria, not learning efficacy.","Does not cover every cognitive need or native-platform behavior; requires manual assistive-technology testing.","W3C document licence permits use with attribution; official normative text openly available.","Set WCAG 2.2 AA as release gate; Quran audio needs transcripts/visual state, controls need accessible names, tajwid color must have text/symbol redundancy."
A11Y02,Universal Design for Learning,Systematic review,"Ok, M. W., Rao, K., Bryant, B. R., & McDougall, D. Universal Design for Learning in Pre-K to Grade 12 Classrooms: A Systematic Review of Research. Exceptionality, 25(2), 116-138.",https://doi.org/10.1080/09362835.2016.1196450,2017,"Pre-K to grade 12 learners, including students with disabilities; 13 qualifying studies","Systematic review of UDL-based classroom interventions and outcomes","UDL interventions sometimes improved access, engagement and academic/social outcomes, but effects ranged from small to large and implementation reporting was inconsistent.","Evidence supports UDL as promising, not a proven universal package.","Only 13 studies; variable designs and weak mapping from claimed UDL to concrete components.","Publisher copyright; no open pooled dataset.","Provide multiple representation/action modes, but evaluate each feature; allow audio, text, slowed playback, larger script and alternative non-speech responses without assuming 'UDL' guarantees learning."
A11Y03,Universal Design for Learning,Systematic review,"Zhang, L., Carter, R. A., Greene, J. A., & Bernacki, M. L. Unraveling Challenges with the Implementation of Universal Design for Learning: A Systematic Literature Review. Educational Psychology Review, 36, 35.",https://doi.org/10.1007/s10648-024-09860-7,2024,"Educational settings implementing UDL across learner groups","Systematic literature review focused on implementation barriers and fidelity","UDL adoption is often constrained by vague operationalization, training demands, time and inconsistent implementation fidelity.","Implementation findings do not estimate a single causal learning effect.","Heterogeneous settings and self-reported implementation; framework labels may mask different interventions.","Publisher copyright; article access may vary; no reusable implementation dataset stated.","Define concrete accessibility behavior per lesson and audit fidelity; do not use a generic 'accessible mode' toggle as evidence."
A11Y04,Universal Design for Learning,Systematic review and meta-analysis,"Almeqdad, Q. I., Alodat, A. M., Alquraan, M. F., Mohaidat, M. A., & Al-Makhzoomy, A. K. The effectiveness of universal design for learning: A systematic review of the literature and meta-analysis. Cogent Education, 10(1), 2218191.",https://doi.org/10.1080/2331186X.2023.2218191,2023,"Empirical UDL studies published in English or Arabic, 2015-2021","Systematic review and meta-analysis across educational settings","The pooled literature suggests positive outcomes, with substantial variability in population, implementation and measures.","Average effects cannot identify which UDL component caused improvement.","Study quality, publication bias and intervention heterogeneity limit precision; little Quran-specific evidence.","Open access, CC BY 4.0.","Run component-level accessibility tests with disabled learners and track task success, not only satisfaction or compliance checklists."
