canonical_product_id,product,segment,depth,evidence_status,defining_strength,main_gap,muslingo_move,official_sources
muslim-app-formerly-muslim-assistant,Muslim App (formerly Muslim Assistant),Islamic superapp,deep,confirmed with gaps,confirmed: Quran and daily azkar; detailed reader/search evidence not fully captured; not found,broad daily prayer/Quran utility; learning depth not evidenced,Product was formerly branded Muslim Assistant.,https://apps.apple.com/us/app/muslim-app-azan-qibla-quran/id1137963102 | https://muslimapp.com/
muslims-day,Muslims Day,Islamic superapp,deep,confirmed,"confirmed: Tajweed Quran, audio, offline downloads, translations, tafsir, bookmarks and resume; not found",broad daily routine app; no evidence of personalized Quran mastery,User count is publisher-provided.,https://apps.apple.com/us/app/muslims-day-quran-prayer-times/id1613431376
quran-muslim,Quran Muslim,Islamic superapp,deep,confirmed with gaps,"confirmed: Quran chapters, translations and recitations; not found",generic broad utility; limited proof of differentiated learning or trust system,Newer product; use as commodity-baseline comparison.,https://apps.apple.com/us/app/quran-muslim/id6768216843
ummah-guide,Ummah Guide,Islamic superapp,deep,confirmed with gaps,"confirmed: Surah/Mushaf, translation, tafsir, audio, word-by-word and expanded reciters; confirmed: basic Learn Islam guides; Academy not found",broad entrant with rapid feature expansion; quality governance is not publicly evidenced,Release notes show frequent notification and reader fixes.,https://apps.apple.com/us/app/ummah-guide-muslim-prayer-app/id6760240389
athan-islamicfinder,Athan / IslamicFinder,Islamic superapp and community,deep,mixed,confirmed: some advanced features require signup; not_found; confirmed: public Muslim community; current teacher workflow not located,Official IslamicFinder pages accessed 2026-09-11; community article is older and current implementation should be rechecked before launch decisions.,"Open community is not Muslingo's near-term wedge. Prefer private teacher/family groups, age gates, reporting, moderation and no exposure of private religious activity.",https://www.islamicfinder.org/news/how-athan-is-changing-the-way-muslims-connect/; https://www.islamicfinder.org/privacypolicy/
everyday-muslim,Everyday Muslim,Islamic superapp and social accountability,deep,confirmed,"confirmed: page/word reader, offline audio, repeat, tafsir, word pronunciation and downloads; not found: formal Academy; trivia present",broadest social-accountability pattern in sample; raises privacy/design sensitivity,Private-group model is strategically relevant but should not expose sensitive worship data by default.,https://apps.apple.com/us/app/everyday-muslim-islamic-app/id1546578729 | https://everydaymuslim.app/
islam-iq,Islam IQ,Islamic trivia and challenge,deep,inference,"Topic-set practice, challenges and daily quiz; Streaks; credits; bonuses; friend/family groups; global leaderboard",Competitive rank is prominent while source and mastery transparency are weak,"Benchmark for social competition, with caution around religious status signaling",https://apps.apple.com/bz/app/islam-iq-quiz-learn-quran/id6760637065
athan,Athan,Islamic utility and content,mapped,confirmed_with_gaps,"Large prayer, Quran and content utility footprint",Broad utility navigation can dilute learning focus,Compete through a single daily lesson decision rather than utility breadth,https://www.islamicfinder.org/athan/
noor-world,Noor World,"K-12 Quran, Arabic and Islamic studies",mapped,confirmed_with_gaps,"Three curriculum tracks, levels, reports and school use",Adaptive individualization is not established publicly,Benchmark school reporting and age-banded curricula,https://noorworld.com/
busuu,Busuu,Language-learning benchmark,deep,confirmed_with_gaps,"Arabic depth, community feedback and non-Arabic placement limitation confirmed",Adaptive model details and reviewer qualification are not public,"Strong community-correction benchmark; Muslingo needs private, qualified Quran review instead of public peer correction",https://www.busuu.com/en/course/learn-arabic-online | https://help.busuu.com/hc/en-gb/articles/16526383831569-What-is-a-Placement-Test | https://www.busuu.com/en/english/personalized-study-plan-busuu-premium | https://business.busuu.com/hubfs/Admin%20Portal/Learners%20-%20self-paced%20learning%20and%201_1%20and%20group%20Live%20Lessons.pdf | https://help.busuu.com/hc/fr/articles/16722928943377-Comment-envoyer-mes-exercices-%C3%A0-la-communaut%C3%A9 | https://help.busuu.com/hc/de/articles/16498048476305-Was-ist-ein-Schutzschild-und-wie-kann-ich-es-nutzen | https://apps.apple.com/us/app/busuu-language-learning-app/id379968583 | https://www.busuu.com/en/terms/
duolingo,Duolingo,Language-learning benchmark,deep,confirmed_with_gaps,SRS model and Arabic course existence confirmed,Arabic-specific CEFR outcome and speech quality remain limited publicly,"Best benchmark for frictionless practice and memory scheduling, not Islamic content authority",https://blog.duolingo.com/how-we-learn-how-you-learn/ | https://blog.duolingo.com/spaced-repetition-for-learning/ | https://www.duolingo.com/course/ar/en/Learn-Arabic | https://investors.duolingo.com/static-files/f19d76fb-dee4-4f13-96ae-138ebfd0f2d3 | https://blog.duolingo.com/friends-social-features/ | https://blog.duolingo.com/plus-family-plan/ | https://blog.duolingo.com/tips-for-maintaining-streak/ | https://blog.duolingo.com/putting-in-work-the-habit-of-language-learning/ | https://apps.apple.com/us/app/duolingo-language-lessons/id570060128 | https://apps.apple.com/us/app/busuu-language-learning-app/id379968583
mango-languages,Mango Languages,Language-learning benchmark,deep,confirmed_with_gaps,"Conversation, culture and library-access model confirmed","Adaptive algorithm, Arabic level depth and accessibility details are weakly public",Benchmark culturally grounded dialogue and equitable library distribution,https://mangolanguages.com/ | https://www.mangolanguages.com/k12/reporting | https://mangolanguages.com/wp-content/uploads/2022/12/Mango-Languages-Mango-Classroom-Overview.pdf
memrise,Memrise,Language-learning benchmark,deep,confirmed_with_gaps,"SRS, native video, voice-data handling and no-offline boundary confirmed",Arabic curriculum depth and AI scoring validity are not published,Excellent listen-use-review loop; Muslingo should avoid storing voice by default,https://www.memrise.com/about | https://www.memrise.com/blog/changes-to-the-memrise-app | https://www.memrise.com/privacy | https://www.memrise.com/es-mx/ | https://app.memrise.com/payment/plans/en-us | https://memrise.zendesk.com/hc/en-us/articles/360015973598-What-are-Streaks-and-how-do-they-work | https://apps.apple.com/us/app/memrise-language-learning-app/id635966718 | https://apps.apple.com/us/app/memrise-language-learning-app/id635966718?see-all=reviews
rosetta-stone,Rosetta Stone,Language-learning benchmark,deep,confirmed_with_gaps,"Speech toggle, feedback and audio companion confirmed",No Quranic phoneme validity or transparent adaptation model,"Benchmark user-controlled speech and multimodal input, not tajwid correctness",https://support.rosettastone.com/using-without-speech-feature/ | https://support.rosettastone.com/audio-companion-faq/ | https://www.rosettastone.com/radiorental | https://support.rosettastone.com/sapphire-learning-path/
lingoda,Lingoda,live classes plus adaptive practice,deep,confirmed + not found,Structured CEFR curriculum and AI-informed practice connected to classes [confirmed]; Post-class practice exists; SRS not confirmed [confirmed/not found]; Each lesson builds on prior curriculum; live classes plus app practice [confirmed],Cashback/strict attendance mechanics can create pressure and are unsuitable for worship-adjacent learning,Human escalation; teacher-led calibration; diagnostic before path; connected homework,https://www.lingoda.com/en/placement-tests/ | https://www.lingoda.com/en/english/
riwaq-al-quran,Riwaq Al Quran,live one-to-one Quran learning,deep,confirmed,"age, course range, evaluation and flexible wallet pricing are official",background checks; guardian observation; recording policy; progress-report schema,Muslingo should be honest that high-stakes tajwid belongs with teachers and offer exportable practice history before a live session,https://riwaqalquran.com/courses/recitation-with-tajweed | https://riwaqalquran.com/quran-for-kids/
quran-mobasher,Quran Mobasher,Live Quran teaching,deep,confirmed_with_gaps,Live qualified teaching purpose confirmed by official Maknon page,"Scheduling, safeguarding, assessment and language details not sufficiently public",Potential escalation/partnership model for cases AI must not certify,https://apps.maknon.org.sa/quran-mobasher | https://play.google.com/store/apps/details?id=maknoon.student
firdaws-academy,Firdaws Academy,"live Quran, Arabic and Islamic Studies",deep,confirmed,"role portals, family dashboard, course list, reporting and current terms are official",background checks; child consent; recording retention; exact family discount; incident workflow,"use Muslingo placement to prepare students and produce a concise error report for a Firdaws-style tutor, with partnership rather than substitution",https://firdawsacademy.com/|https://firdawsacademy.com/new-academy-portal/|https://firdawsacademy.com/terms-and-conditions-of-firdaws-academy/|https://portal.firdawsacademy.com/login
studio-arabiya,Studio Arabiya,"live Quran, Arabic and Islamic Studies",deep,confirmed,"portal, courses, live teachers, progress and starting price are official",teacher vetting evidence; child session recording policy; family discount; response SLA,Muslingo can be the between-class practice layer and escalate repeated uncertain errors to a booked human review,https://studioarabiya.com/home/|https://support.studioarabiya.com/portal/en/kb/articles/courses-that-we-offer
ummah-hub,Ummah Hub,Local-community Islamic superapp,deep,confirmed with gaps,confirmed: Quran with last-read resume and audio improvements; depth not fully found; not found,community-directory differentiation with global worship basics; not a learning platform,Orange County directory focus limits direct global comparison.,https://apps.apple.com/us/app/ummah-hub/id6745749060
khan-academy,Khan Academy,Mastery-learning benchmark,deep,confirmed_with_gaps,Mastery-state and teacher-dashboard model confirmed,Not evidence for religious/language content design,Benchmark authoritative skill-state transitions and evidence thresholds,https://support.khanacademy.org/hc/en-us/articles/115002552631-How-does-Khan-Academy-s-Mastery-system-work | https://support.khanacademy.org/hc/en-us/articles/360007253831-Using-self-paced-practice-and-Mastery-in-the-classroom | https://www.khanacademy.org/khan-for-educators/teacher-toolbox/getting-started-teacher-training-us/implementation-strategies-us/classroom-strategies/a/using-khan-academy-for-personalized-practice-and-mastery | https://blog.khanacademy.org/meet-the-new-khan-academy-classroom-experience/ | https://support.khanacademy.org/hc/en-us/articles/360031129891-What-reporting-options-are-available-on-Khan-Academy-for-teachers-to-track-student-performance
ayaquest,AyaQuest,meaning-first Quran app for kids,deep,confirmed,"scope limits, pricing, parent visibility and AI guardrails are unusually explicit",independent safety evaluation; Android; scholar identities; long-term child-data retention,"Muslingo should match transparent AI boundaries, then add listen-first recitation, uncertainty labels and optional teacher escalation",https://ayaquest.ai/|https://ayaquest.ai/parents|https://ayaquest.ai/faq|https://ayaquest.ai/for-madrasahs|https://ayaquest.ai/quran-app-without-ads
jawhar,Jawhar,memorization with understanding,deep,confirmed Play features/privacy declaration; not found AI method; inference on competitive overlap,"rare integration of hifz, meaning, Warsh and structured review","no speech feedback, diagnostic or published learning validation","Muslingo must exceed this with pronunciation repair and source-visible interactive lessons, not merely match the daily plan",https://play.google.com/store/apps/details?id=com.alphafoundr.jawhar | https://jawhar.alphafoundr.com/privacy
anki,Anki,Memory-system benchmark,deep,confirmed_with_gaps,Scheduler architecture and local-first operation confirmed,No curriculum quality control or objective grading,Best technical benchmark for item-level memory state; Muslingo needs stricter content and outcome models,https://docs.ankiweb.net/background.html | https://docs.ankiweb.net/deck-options.html | https://apps.ankiweb.net/ | https://docs.ankiweb.net/syncing.html | https://docs.ankiweb.net/importing/intro.html | https://docs.ankiweb.net/exporting.html
quran-your-companion,Quran Your Companion,Minimal Quran reader,deep,confirmed with trust limitation,"confirmed: reader, audio, translations, tafsir, bookmarks, offline and lock-screen controls; not found",very lightweight reader; source trust gap is strategically material,"New, small app; inclusion illustrates low-cost reader commoditization.",https://apps.apple.com/us/app/quran-your-companion/id6760555511
alifbee,AlifBee,MSA and Quranic Arabic,deep,confirmed_with_gaps,"Placement, SRS, depth, four skills and teacher-supported option confirmed",No Quran recitation validity and no public disability-accessibility audit,"Depth benchmark: Muslingo Arabic needs level outcomes and transfer tasks, not just lesson count",https://www.alifbee.com/en | https://help.alifbee.com/hc/en-us/articles/9421698273821--Placement-test | https://store.alifbee.com/products/alifbee-premium | https://www.alifbee.com/en/price-page | https://store.alifbee.com/collections/alifbee-premium-subscriptions | https://help.alifbee.com/hc/en-us/articles/10240815640093--How-much-does-AlifBee-Kids-cost
quranpal,QuranPal,"multi-path Quran, prayer and Arabic learning",deep,confirmed listing claims; not found operational proof; inference on execution gap,strong holistic proposition and calm anti-guilt positioning,"many future-scale claims in a low-download new app; no public curriculum, speech or reviewer evidence",Muslingo needs to prove the same integrated promise through a real diagnostic result and visible source/reviewer metadata,https://play.google.com/store/apps/details?id=com.synergisgt.quranpal | https://quranpal.app/terms-and-conditions
one4kids-tv,One4Kids TV,music-free Islamic streaming,deep,confirmed,"current membership page documents price, devices, downloads and content policy",child profiles; progress; age controls; review governance; data deletion,offer a free Quran-level check to convert entertainment intent into a daily learning plan without attacking music-policy preferences,https://one4kids.tv/pages/home-2060|https://one4kids.tv/join|https://one4kids.net/one4kids-tv-landing-page/
new-muslim-academy-uk,New Muslim Academy UK,new Muslim courses and community,deep,mixed,course counts and learning path are on official site,active app links; price; moderation; teacher credentials; data policy,Muslingo should pair structured Quran practice with local community referrals and a visible 'ask a specialist' route,https://newmuslim.co.uk/
newmuslims-com-new-muslims-app,NewMuslims.com / New Muslims app,new Muslim e-learning,deep,confirmed,"level structure, quiz progression, app update and data-safety declaration are official",human escalation; content review dates; age policy; iOS; personalization,"offer import by level self-assessment, compress known material and provide a daily plan with trusted source cards",https://www.newmuslims.com/|https://play.google.com/store/apps/details?id=com.newmuslims.sa.nmapp
iera-muslim-now-new-muslim-training,iERA Muslim Now / New Muslim Training,new Muslim education and mentorship,deep,confirmed,"structured course, human mentor lane and age/consent gate are official",mentor vetting and matching controls; response SLA; current language coverage,"Muslingo should detect new-Muslim goals, provide a first-week essentials plan and hand off sensitive questions to vetted local support",https://newmuslim.iera.org/|https://newmuslim.iera.org/courses/|https://newmuslim.iera.org/learn-about-islam/
new-muslim-academy,New Muslim Academy,new Muslim structured learning,deep,mixed,course sequencing and live/community elements are official,mentor assignment model; moderation SLA; age/safeguarding; completion evidence,Muslingo should create a low-pressure new-Muslim route with optional local mentor referral and avoid overwhelming users with the full catalog,https://www.newmuslimacademy.org/ | https://www.newmuslimacademy.org/our-courses/ | https://www.newmuslimacademy.org/faq-section/
first-steps-in-islam,First Steps in Islam,New-Muslim learning,deep,confirmed,"Daily step-by-step fundamentals, Quran/tafsir, seerah, duas and mentor Q&A; Daily guidance; no XP/streak evidenced",AI mentor safety and handling of differences of opinion are not publicly detailed,Benchmark for new-Muslim scope and offline essentials,https://apps.apple.com/us/app/first-steps-in-islam/id6760339053
memorize-quran-hifz-app,Memorize Quran - Hifz App,offline flashcard hifz,deep,confirmed store claims; privacy details not found; inference on limitations,simple offline active-recall loop,"self-rating only; no meaning curriculum, speech verification or teacher input",Muslingo can provide the same low-friction offline review with evidence-based scoring and richer instruction,https://play.google.com/store/apps/details?id=com.memorizequran.app
deen-in,Deen.in,Offline privacy-first Islamic superapp,deep,confirmed as publisher claims,"confirmed: 604-page Mushaf, 490+ translations claim, word-by-word, 25+ reciters, repeat and Hifz progress; confirmed: Learn Islam guides; formal Academy not found",very broad offline utility with privacy differentiation; claims need independent source audit,New product; large content counts are publisher claims.,https://apps.apple.com/us/app/deen-in/id6762373869
wird-quran-companion,Wird - Quran Companion,Offline privacy-first Quran companion,deep,confirmed,"confirmed: official Madinah Mushaf, background/lock audio, recitation highlight and offline; not found","focused, trust-forward companion with strong offline execution and minimal ecosystem breadth","Requires iOS 26 in current listing, limiting addressable devices.",https://apps.apple.com/us/app/wird-quran-companion/id6791257820
hifz-ai-hifzai-app,Hifz AI (hifzai.app),on-device AI hifz tester,deep,confirmed vendor claims; not found independent validation/pricing; inference on credibility gap,"offline positioning, script choice and focused hifz loop",strong tajwid/pronunciation claims without public validation details,Muslingo can be more credible by splitting text match from probable phoneme/tajwid signals and publishing test coverage,https://hifzai.app/about | https://hifzai.app/quran-memorization-app | https://hifzai.app/privacy-policy
openlearn-arabic,OpenLearn Arabic,Open education benchmark,mapped,confirmed_with_gaps,Free university-authored beginner Arabic material,No mobile adaptive engine,Use open resources only under their exact licenses and add active practice,https://www.open.edu/openlearn/education-development/introduction-arabic
quran-for-android,Quran for Android,Open-source Quran reader,deep,confirmed,"confirmed: Quran reading, translations, audio and related reader capabilities; not found","focused reader, not superapp",Privacy page covers several Quran.com Android apps.,https://github.com/quran/quran_android | https://android.quran.com/ | https://android.quran.com/privacy.html
beelinguapp,Beelinguapp,parallel-text reading and listening,deep,confirmed + inference + not found,Content spans levels; adaptive recommendation model not found [confirmed/not found]; Glossary flashcards; SRS not confirmed [confirmed/not found]; Read translation in parallel while listening; quiz after story [confirmed],Do not use copyrighted or unverified translations; parallel text cannot substitute tafsir,Synchronized ayah audio/text/translation; story-level comprehension; adjustable scaffolding,https://beelinguapp.com/
muslim-homeschool-app,Muslim Homeschool App,parent coaching and homeschool support,deep,mixed,"scope, platform and parent-centered program are in official App Store listing",price; data practices; community moderation; child profiles,"Muslingo onboarding can ask parents for available time and confidence, then produce a realistic family routine instead of only testing the child",https://apps.apple.com/us/app/muslim-homeschool-app/id1614411646
tandem,Tandem,peer language exchange,deep,confirmed + inference + not found,"Partner matching uses language, location and interests; no curriculum [confirmed]; No SRS confirmed [not found]; Learner-directed conversation [confirmed]","Open peer contact is high-risk for minors, privacy and unqualified religious guidance",Moderated application; partner matching; in-context corrections,https://tandem.net/ | https://tandem.net/en/pages/faq
muslim-pillars,Muslim Pillars,Prayer and Quran companion,deep,confirmed with gaps,confirmed: Quran reading mode and reading streak protection; reader depth not fully found; not found,focused prayer/Quran utility with modern system-surface execution,Evidence limited to official storefront metadata and release notes.,https://apps.apple.com/us/app/muslim-pillars-salah-quran/id1529761608
salah-learn-how-to-pray,Salah - Learn How to Pray,Prayer instruction,deep,confirmed,"Step-by-step salah and wudu with audio, illustrations, transliteration, translation and autoplay; Guided completion; no XP or streak evidenced","No retrieval practice, assessment or demonstrated correction loop",Strong transparency benchmark for madhhab scope and humble safety language,https://apps.apple.com/us/app/salah-learn-how-to-pray/id6771000609
prayer-teacher,Prayer Teacher,Prayer instruction and tracker,deep,inference,"Step-by-step daily prayers and wudu with audio, visual guidance and adjustable speed; Prayer tracker and consistency insights; no game economy evidenced",Tracks behavior more than learning; no test or correction of understanding,"Benchmark for private, on-device practice records and source transparency",https://apps.apple.com/us/app/prayer-teacher-learn-salah/id6761936320
learn-salah-prayer-guide,Learn Salah - Prayer Guide,Prayer learning and habit,deep,not found,"Video/audio walkthroughs, layered Arabic/transliteration/translation, quizzes and offline practice; Streak; freeze; Hasanat goal; XP; leagues; friends; badges; seasonal bonuses",Many engagement mechanics surround worship; pedagogical and jurisprudential governance is unclear,"Benchmark for guided ritual learning and offline mode, not for religious authority",https://apps.apple.com/us/app/learn-salah-prayer-guide/id6759625943
iquran,iQuran,Premium Quran reader,deep,confirmed,"confirmed: tajwid, verse/word translation, recitation, bookmarks, notes, tags and advanced search; not found",focused mature reader with low monetization pressure; no guided learning path,Availability and features reflect US App Store snapshot.,https://apps.apple.com/us/app/iquran-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id285944183 | https://apps.apple.com/us/developer/beehive-innovations-services/id285944186
gardens-of-the-quran,Gardens of the Quran,privacy-first full hifz and recitation system,deep,confirmed store claims; not found independent validation/licensing details; inference on threat level,"strongest new combination of SRS, multiple riwayat, local privacy and frictionless sync",high speech/tajwid claims without validation; Android-only evidence; source/licensing details require diligence,"Muslingo must beat it through trusted diagnostic pedagogy, visible sources, teacher review and Russian/Kazakh depth, not by feature count",https://play.google.com/store/apps/details?id=com.kalimalabs.riyadhquran
muslim-global,Muslim Global,Privacy-first Islamic superapp,deep,confirmed as publisher claims,"confirmed: Quran reader, continuous audio, tajwid premium, reciters, search and bookmarks; not found",notable benchmark for a simple adaptive completion plan without full learning engine,Storefront currently exposes the product under Ummah naming in Switzerland.,https://apps.apple.com/ch/app/ummah-prayer-quran/id6761806544
salam-app,Salam App,Privacy-first Islamic superapp,deep,confirmed,"confirmed: offline Quran, multiple modes, search, word-by-word, tajwid, tafsir, downloadable audio and bookmarks; not found: structured Academy",very broad free utility set with privacy as primary differentiation; guided mastery remains thin,App Store privacy claims are developer-declared and not independently verified by Apple.,https://apps.apple.com/us/app/salam-app-muslim-companion/id1629159763 | https://www.salam.app/privacy-policy
deen-quran-hadith-duas,"Deen - Quran, Hadith, Duas",Privacy-first knowledge superapp,deep,confirmed,"confirmed: Quran audio, 23 languages, search, auto-scroll, notes, offline and topic exploration; not found: sequential Academy",strong trust/privacy/content combination; lacks adaptive assessment and speech,Relevant benchmark for account-optional sync and calm reading.,https://apps.apple.com/us/app/deen-quran-hadith-duas/id1616229199 | https://www.deen.app/
pillars,Pillars,Privacy-first prayer app,deep,confirmed,confirmed absent: official FAQ says no Quran feature is planned; not found,narrow and polished prayer focus; useful counterexample to feature-bloated superapps,Official FAQ explicitly recommends Tarteel instead of adding Quran.,https://www.thepillarsapp.com/ | https://www.thepillarsapp.com/privacy | https://apps.apple.com/us/app/pillars-prayer-times-qibla/id1559086853 | https://thepillarsapp.com/privacy | https://thepillarsapp.com/faqs | https://www.thepillarsapp.com/faqs
athan-utility,Athan Utility,Privacy-first prayer utility,deep,confirmed,confirmed absent: no Quran reader listed; not found,excellent narrow utility and privacy benchmark; not a Quran-learning competitor,Included to test whether focus can beat breadth on trust and polish.,https://apps.apple.com/us/app/athan-utility/id1076108131
huda,HUDA,Privacy-oriented Islamic utility,deep,confirmed with gaps,confirmed: Quran reading; depth/audio/search details limited; not found,simple utility positioned as cleaner alternative to larger superapps,Do not infer privacy beyond storefront disclosure.,https://apps.apple.com/us/app/huda-prayer-times-al-quran/id1483923871
islam360,Islam360,Quran and Hadith knowledge superapp,deep,confirmed with privacy limitation,"confirmed: Quran/Hadith search, multiple translations/tafsirs, word-by-word and audio tafsir; inference: knowledge exploration is extensive; sequential Academy not found","very broad reference/search product, not a coached learning journey",Privacy evidence is incomplete and should not be treated as zero collection.,https://apps.apple.com/us/app/islam-360/id1498989420 | https://theislam360.com/
alhuda-online,AlHuda Online,Quran and Islamic studies courses,mapped,confirmed_with_gaps,Instructor-led course catalogue and learning features,Not a lightweight daily adaptive app,Partner or link for deep study after Muslingo foundations,https://alhudaonline.org/online-courses
quran-pro,Quran Pro,Quran audio ecosystem,deep,confirmed,"confirmed: many reciters, playlists, offline audio, translation, tafsir, bookmarks and fullscreen reader; not found",audio-first depth and device reach; weak evidence for learning assessment,Store copy contains conflicting free/unlimited and premium wording; packaging should be rechecked in-app.,https://apps.apple.com/us/app/quran-pro-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id537070378
quranly,Quranly,Quran habit,deep,confirmed_with_gaps,Habit mechanics and privacy terms confirmed,No evidence of recall scheduling or learning outcome assessment,"Use its low-friction daily goal mechanics, not its reward counters as mastery evidence",https://www.quranly.app/ | https://www.quranly.app/privacy-policy | https://play.google.com/store/apps/details?id=com.quranly.app | https://www.quranly.app/blog/quranly-everything-you-need-to-know | https://apps.apple.com/us/app/quran-by-quranly/id1559233786
qariah,Qariah,Quran listening,deep,confirmed_with_gaps,Reciter qualification and listening features confirmed,"No mastery, diagnostic or speech feedback model",Use as a representation and exemplary-audio benchmark,https://qariah.app/
hifz,HIFZ,Quran memorization,deep,confirmed_with_gaps,"Workflow, deletion and teacher boundary confirmed","Speech validity, intervals, accessibility and child safety remain underdocumented",Strong model for a traditional review queue and honest AI limitations,https://gethifz.com/ | https://gethifz.com/support
mualim,Mualim,Quran memorization,deep,confirmed_with_gaps,Mismatch-versus-tajwid boundary and feature set confirmed,No independent speech benchmark or child-safety evidence,Copy its precise non-tajwid wording and flexible memorization methods,https://mualim-app.com/en | https://apps.apple.com/us/app/mualim-master-the-quran/id6471001108
sadr,Sadr,Quran memorization,deep,confirmed_with_gaps,"SRS, voice architecture and personalization claims confirmed in current terms","No published accuracy study, child controls or curriculum map",Useful privacy-first architecture benchmark; do not infer phonetic quality from verse recognition,https://sadr.app/ | https://sadr.app/terms | https://sadr.app/privacy | https://apps.apple.com/us/app/sadr-quran-memorization/id6762648928 | https://sadr.app/?lang=en | https://sadr.app/support-us
tarteel,Tarteel,Quran memorization and recitation,deep,confirmed_with_gaps,Feature set and limits confirmed by official help center,"Independent efficacy benchmark, tajwid phoneme validity and child safeguards not published","Best benchmark for error-directed hifz, but Muslingo should keep explicit teacher boundary",https://support.tarteel.ai/en/collections/15105266-tarteel-features | https://support.tarteel.ai/en/articles/12267535-can-i-use-tarteel-for-free | https://tarteel.ai/privacy | https://tarteel.ai/en/pricing | https://support.tarteel.ai/en/collections/15105282-troubleshooting-and-support | https://tarteel.ai/ | https://apps.apple.com/us/app/tarteel-ai-quran-memorization/id1391009396 | https://support.tarteel.ai/en/articles/12414382-groups-and-leaderboards | https://support.tarteel.ai/en/articles/12414408-how-to-add-an-off-platform-session | https://support.tarteel.ai/en/articles/16557351-testing-faqs | https://tarteel.ai/en/family | https://support.tarteel.ai/en/collections/15105269-subscriptions-and-billing | https://apps.apple.com/us/app/tarteel-ai-quran-memorization/id1391009396?see-all=reviews | https://apps.apple.com/us/app/tarteel-ai-quran-memorization/id1391009396?platform=iphone&see-all=reviews
tatbith,Tatbith,Quran memorization and revision,mapped,emerging,Traditional memorization flow and balance between new material and revision,Young product with limited public operating evidence,Model the daily balance of new memorization and old review,https://www.tatbith.app/
hifz-ai,Hifz AI,Quran memorization and speech,mapped,confirmed_with_gaps,Arabic-first AI memorization and smart recitation mode,Public validation and governance detail are limited,Treat Arabic-first onboarding and offline practice as regional benchmarks,https://hifzai.app/ar
tasmi,Tasmi,Quran memorization and teacher companion,deep,confirmed_with_gaps,Family and tutor positioning with recitation feedback between lessons,Public evidence for independent speech validity remains limited,Add teacher-visible attempts and make automated feedback subordinate to qualified review,https://www.tasmi.app/
quran-academy,Quran Academy,Quran memorization and word-level study,mapped,confirmed_with_gaps,Structured memorization platform with Quran study tooling,Current feature and pricing boundaries require checkout validation,"Benchmark word-level study, but keep the daily plan simpler",https://quranacademy.io/
hifzmate,HifzMate,Quran memorization utility,mapped,emerging,Community-built memorization and tajwid practice,Small product and incomplete public evidence,Watch emerging tools for focused workflows without copying content,https://hifzmate.com/
quran-explorer,Quran Explorer,Quran reader,deep,confirmed,"confirmed: scripts, scholar-proofread translation, audio, highlighting, bookmarks and navigation; not found","focused, established reader with limited learning/retention mechanics",Publisher claims scholarly proofreading.,https://apps.apple.com/us/app/quran-explorer/id451133186 | https://www.quranexplorer.com/
quran-majeed,Quran Majeed,Quran reader,deep,confirmed_with_gaps,"Proofreading, reader tools and repeat controls confirmed","No curriculum, adaptive path or outcome evidence","Benchmark robust reader/audio controls, not course design",https://pakdata.com/products/quran-majeed/ | https://pakdata.com/privacy-policy/ | https://apps.apple.com/us/app/quran-majeed-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id365557665 | https://apps.apple.com/us/app/id365557665?see-all=reviews | https://apps.apple.com/qa/app/quran-majeed-the-holy-quran/id365557665 | https://apps.apple.com/us/app/quran-majeed-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id365557665?see-all=reviews
ayat,Ayat,Quran reader and study,mapped,confirmed_with_gaps,University-backed Quran reading and study tooling,Adaptive lesson workflow is not core,Prefer trusted data and clear provenance over proprietary copies,https://quran.ksu.edu.sa/ayat/
quran-majeed-by-ird-foundation,Quran Majeed by IRD Foundation,Quran reader and study,deep,mixed,confirmed: immediate reader and beginner-friendly Qaida; no formal diagnostic located; not_found; not_found: no teacher/community layer located,Official Google Play page accessed 2026-09-11.,"Offer a respectful import for user-owned Quran progress where formats are documented, with preview and consent. Never scrape another app's private store.",https://play.google.com/store/apps/details?id=com.ihadis.quran
quran-com,Quran.com,Quran reader and study,deep,confirmed_with_gaps,"Content, API, offline and privacy architecture confirmed","No graded curriculum, speech grading or mastery validation","Use as trusted Quran data substrate, not as a substitute for Muslingo pedagogy",https://quran.com/ | https://quran.com/privacy | https://api-docs.quran.com/docs/tutorials/content-sync/getting-started/ | https://api-docs.quran.com/ | https://quran.com/apps | https://quran.com/en/product-updates/new-study-mode-on-quran-com | https://api-docs.quran.com/docs/connected-apps/ | https://api-docs.quran.com/docs/tutorials/oidc/mobile-apps/ | https://api-docs.quran.com/docs/category/user-related-apis-1.0.0/
