"module_id","track","strand","sequence","module_title","learning_objective","difficulty","prerequisite","source_locator","rights_status","review_status","video_need","speaker_domain"
"QUR-046","Quran","Surah 97","46","Al-Qadr / Аль-Кадр: Последовательность смысла","Ученик сможет восстанавливать только утверждённую редактором смысловую последовательность суры с указанием издания перевода; рабочий диапазон 97:1-5.","Intermediate 1","QUR-045","Tanzil Quran Text v1.1 97:1-5 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 97 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Рекомендуется: объяснение редактора 2-4 мин","Исламский редактор с заявленной областью компетенции"
"QUR-047","Quran","Surah 97","47","Al-Qadr / Аль-Кадр: Цепочка хифза","Ученик сможет воспроизводить аяты по частям и целиком со скрытым текстом, отдельно измеряя порядок слов и качество чтения; рабочий диапазон 97:1-5.","Intermediate 1","QUR-046","Tanzil Quran Text v1.1 97:1-5 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 97 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен A/B-аудиорежим","Кари и преподаватель хифза"
"QUR-048","Quran","Surah 97","48","Al-Qadr / Аль-Кадр: Отложенное мастерство","Ученик сможет через интервальную паузу показать чтение, продолжение, базовое понимание и воспроизведение без подсказки; рабочий диапазон 97:1-5.","Intermediate 2","QUR-047","Tanzil Quran Text v1.1 97:1-5 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 97 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: итоговая обратная связь","Кари, исламский редактор и методист"
"QUR-049","Quran","Surah 98","49","Al-Bayyinah / Аль-Баййина: Каноническая карта","Ученик сможет находить границы суры и аяты по устойчивому локатору, не смешивая арабский текст с переводом; рабочий диапазон 98:1-8.","Beginner 1","Базовая диагностика Muslingo","Tanzil Quran Text v1.1 98:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 98 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; статическая схема","Редактор Корана и специалист по доступности"
"QUR-050","Quran","Surah 98","50","Al-Bayyinah / Аль-Баййина: Аудиокарта","Ученик сможет следить за последовательностью аятов по человеческой записи и возвращаться к точному месту после паузы; рабочий диапазон 98:1-8.","Beginner 1","QUR-049","Tanzil Quran Text v1.1 98:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 98 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен лицензированный звук","Квалифицированный кари, Hafs an Asim"
"QUR-051","Quran","Surah 98","51","Al-Bayyinah / Аль-Баййина: Карта слов","Ученик сможет узнавать выбранные после лингвистической проверки слова в тексте и аудио без догадки по длине ответа; рабочий диапазон 98:1-8.","Beginner 2","QUR-050","Tanzil Quran Text v1.1 98:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 98 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: короткая анимация сегментации","Преподаватель Quranic Arabic и кари"
"QUR-052","Quran","Surah 98","52","Al-Bayyinah / Аль-Баййина: Последовательность смысла","Ученик сможет восстанавливать только утверждённую редактором смысловую последовательность суры с указанием издания перевода; рабочий диапазон 98:1-8.","Intermediate 1","QUR-051","Tanzil Quran Text v1.1 98:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 98 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Рекомендуется: объяснение редактора 2-4 мин","Исламский редактор с заявленной областью компетенции"
"QUR-053","Quran","Surah 98","53","Al-Bayyinah / Аль-Баййина: Цепочка хифза","Ученик сможет воспроизводить аяты по частям и целиком со скрытым текстом, отдельно измеряя порядок слов и качество чтения; рабочий диапазон 98:1-8.","Intermediate 1","QUR-052","Tanzil Quran Text v1.1 98:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 98 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен A/B-аудиорежим","Кари и преподаватель хифза"
"QUR-054","Quran","Surah 98","54","Al-Bayyinah / Аль-Баййина: Отложенное мастерство","Ученик сможет через интервальную паузу показать чтение, продолжение, базовое понимание и воспроизведение без подсказки; рабочий диапазон 98:1-8.","Intermediate 2","QUR-053","Tanzil Quran Text v1.1 98:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 98 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: итоговая обратная связь","Кари, исламский редактор и методист"
"QUR-055","Quran","Surah 99","55","Az-Zalzalah / Аз-Зальзаля: Каноническая карта","Ученик сможет находить границы суры и аяты по устойчивому локатору, не смешивая арабский текст с переводом; рабочий диапазон 99:1-8.","Beginner 1","Базовая диагностика Muslingo","Tanzil Quran Text v1.1 99:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 99 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; статическая схема","Редактор Корана и специалист по доступности"
"QUR-056","Quran","Surah 99","56","Az-Zalzalah / Аз-Зальзаля: Аудиокарта","Ученик сможет следить за последовательностью аятов по человеческой записи и возвращаться к точному месту после паузы; рабочий диапазон 99:1-8.","Beginner 1","QUR-055","Tanzil Quran Text v1.1 99:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 99 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен лицензированный звук","Квалифицированный кари, Hafs an Asim"
"QUR-057","Quran","Surah 99","57","Az-Zalzalah / Аз-Зальзаля: Карта слов","Ученик сможет узнавать выбранные после лингвистической проверки слова в тексте и аудио без догадки по длине ответа; рабочий диапазон 99:1-8.","Beginner 2","QUR-056","Tanzil Quran Text v1.1 99:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 99 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: короткая анимация сегментации","Преподаватель Quranic Arabic и кари"
"QUR-058","Quran","Surah 99","58","Az-Zalzalah / Аз-Зальзаля: Последовательность смысла","Ученик сможет восстанавливать только утверждённую редактором смысловую последовательность суры с указанием издания перевода; рабочий диапазон 99:1-8.","Intermediate 1","QUR-057","Tanzil Quran Text v1.1 99:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 99 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Рекомендуется: объяснение редактора 2-4 мин","Исламский редактор с заявленной областью компетенции"
"QUR-059","Quran","Surah 99","59","Az-Zalzalah / Аз-Зальзаля: Цепочка хифза","Ученик сможет воспроизводить аяты по частям и целиком со скрытым текстом, отдельно измеряя порядок слов и качество чтения; рабочий диапазон 99:1-8.","Intermediate 1","QUR-058","Tanzil Quran Text v1.1 99:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 99 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен A/B-аудиорежим","Кари и преподаватель хифза"
"QUR-060","Quran","Surah 99","60","Az-Zalzalah / Аз-Зальзаля: Отложенное мастерство","Ученик сможет через интервальную паузу показать чтение, продолжение, базовое понимание и воспроизведение без подсказки; рабочий диапазон 99:1-8.","Intermediate 2","QUR-059","Tanzil Quran Text v1.1 99:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 99 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: итоговая обратная связь","Кари, исламский редактор и методист"
"QUR-061","Quran","Surah 100","61","Al-Adiyat / Аль-Адият: Каноническая карта","Ученик сможет находить границы суры и аяты по устойчивому локатору, не смешивая арабский текст с переводом; рабочий диапазон 100:1-11.","Beginner 1","Базовая диагностика Muslingo","Tanzil Quran Text v1.1 100:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 100 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; статическая схема","Редактор Корана и специалист по доступности"
"QUR-062","Quran","Surah 100","62","Al-Adiyat / Аль-Адият: Аудиокарта","Ученик сможет следить за последовательностью аятов по человеческой записи и возвращаться к точному месту после паузы; рабочий диапазон 100:1-11.","Beginner 1","QUR-061","Tanzil Quran Text v1.1 100:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 100 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен лицензированный звук","Квалифицированный кари, Hafs an Asim"
"QUR-063","Quran","Surah 100","63","Al-Adiyat / Аль-Адият: Карта слов","Ученик сможет узнавать выбранные после лингвистической проверки слова в тексте и аудио без догадки по длине ответа; рабочий диапазон 100:1-11.","Beginner 2","QUR-062","Tanzil Quran Text v1.1 100:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 100 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: короткая анимация сегментации","Преподаватель Quranic Arabic и кари"
"QUR-064","Quran","Surah 100","64","Al-Adiyat / Аль-Адият: Последовательность смысла","Ученик сможет восстанавливать только утверждённую редактором смысловую последовательность суры с указанием издания перевода; рабочий диапазон 100:1-11.","Intermediate 1","QUR-063","Tanzil Quran Text v1.1 100:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 100 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Рекомендуется: объяснение редактора 2-4 мин","Исламский редактор с заявленной областью компетенции"
"QUR-065","Quran","Surah 100","65","Al-Adiyat / Аль-Адият: Цепочка хифза","Ученик сможет воспроизводить аяты по частям и целиком со скрытым текстом, отдельно измеряя порядок слов и качество чтения; рабочий диапазон 100:1-11.","Intermediate 1","QUR-064","Tanzil Quran Text v1.1 100:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 100 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен A/B-аудиорежим","Кари и преподаватель хифза"
"QUR-066","Quran","Surah 100","66","Al-Adiyat / Аль-Адият: Отложенное мастерство","Ученик сможет через интервальную паузу показать чтение, продолжение, базовое понимание и воспроизведение без подсказки; рабочий диапазон 100:1-11.","Intermediate 2","QUR-065","Tanzil Quran Text v1.1 100:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 100 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: итоговая обратная связь","Кари, исламский редактор и методист"
"QUR-067","Quran","Surah 101","67","Al-Qariah / Аль-Кариа: Каноническая карта","Ученик сможет находить границы суры и аяты по устойчивому локатору, не смешивая арабский текст с переводом; рабочий диапазон 101:1-11.","Beginner 1","Базовая диагностика Muslingo","Tanzil Quran Text v1.1 101:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 101 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; статическая схема","Редактор Корана и специалист по доступности"
"QUR-068","Quran","Surah 101","68","Al-Qariah / Аль-Кариа: Аудиокарта","Ученик сможет следить за последовательностью аятов по человеческой записи и возвращаться к точному месту после паузы; рабочий диапазон 101:1-11.","Beginner 1","QUR-067","Tanzil Quran Text v1.1 101:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 101 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен лицензированный звук","Квалифицированный кари, Hafs an Asim"
"QUR-069","Quran","Surah 101","69","Al-Qariah / Аль-Кариа: Карта слов","Ученик сможет узнавать выбранные после лингвистической проверки слова в тексте и аудио без догадки по длине ответа; рабочий диапазон 101:1-11.","Beginner 2","QUR-068","Tanzil Quran Text v1.1 101:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 101 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: короткая анимация сегментации","Преподаватель Quranic Arabic и кари"
"QUR-070","Quran","Surah 101","70","Al-Qariah / Аль-Кариа: Последовательность смысла","Ученик сможет восстанавливать только утверждённую редактором смысловую последовательность суры с указанием издания перевода; рабочий диапазон 101:1-11.","Intermediate 1","QUR-069","Tanzil Quran Text v1.1 101:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 101 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Рекомендуется: объяснение редактора 2-4 мин","Исламский редактор с заявленной областью компетенции"
"QUR-071","Quran","Surah 101","71","Al-Qariah / Аль-Кариа: Цепочка хифза","Ученик сможет воспроизводить аяты по частям и целиком со скрытым текстом, отдельно измеряя порядок слов и качество чтения; рабочий диапазон 101:1-11.","Intermediate 1","QUR-070","Tanzil Quran Text v1.1 101:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 101 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен A/B-аудиорежим","Кари и преподаватель хифза"
"QUR-072","Quran","Surah 101","72","Al-Qariah / Аль-Кариа: Отложенное мастерство","Ученик сможет через интервальную паузу показать чтение, продолжение, базовое понимание и воспроизведение без подсказки; рабочий диапазон 101:1-11.","Intermediate 2","QUR-071","Tanzil Quran Text v1.1 101:1-11 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 101 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: итоговая обратная связь","Кари, исламский редактор и методист"
"QUR-073","Quran","Surah 102","73","At-Takathur / Ат-Такасур: Каноническая карта","Ученик сможет находить границы суры и аяты по устойчивому локатору, не смешивая арабский текст с переводом; рабочий диапазон 102:1-8.","Beginner 1","Базовая диагностика Muslingo","Tanzil Quran Text v1.1 102:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 102 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; статическая схема","Редактор Корана и специалист по доступности"
"QUR-074","Quran","Surah 102","74","At-Takathur / Ат-Такасур: Аудиокарта","Ученик сможет следить за последовательностью аятов по человеческой записи и возвращаться к точному месту после паузы; рабочий диапазон 102:1-8.","Beginner 1","QUR-073","Tanzil Quran Text v1.1 102:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 102 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен лицензированный звук","Квалифицированный кари, Hafs an Asim"
"QUR-075","Quran","Surah 102","75","At-Takathur / Ат-Такасур: Карта слов","Ученик сможет узнавать выбранные после лингвистической проверки слова в тексте и аудио без догадки по длине ответа; рабочий диапазон 102:1-8.","Beginner 2","QUR-074","Tanzil Quran Text v1.1 102:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 102 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: короткая анимация сегментации","Преподаватель Quranic Arabic и кари"
"QUR-076","Quran","Surah 102","76","At-Takathur / Ат-Такасур: Последовательность смысла","Ученик сможет восстанавливать только утверждённую редактором смысловую последовательность суры с указанием издания перевода; рабочий диапазон 102:1-8.","Intermediate 1","QUR-075","Tanzil Quran Text v1.1 102:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 102 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Рекомендуется: объяснение редактора 2-4 мин","Исламский редактор с заявленной областью компетенции"
"QUR-077","Quran","Surah 102","77","At-Takathur / Ат-Такасур: Цепочка хифза","Ученик сможет воспроизводить аяты по частям и целиком со скрытым текстом, отдельно измеряя порядок слов и качество чтения; рабочий диапазон 102:1-8.","Intermediate 1","QUR-076","Tanzil Quran Text v1.1 102:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 102 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен A/B-аудиорежим","Кари и преподаватель хифза"
"QUR-078","Quran","Surah 102","78","At-Takathur / Ат-Такасур: Отложенное мастерство","Ученик сможет через интервальную паузу показать чтение, продолжение, базовое понимание и воспроизведение без подсказки; рабочий диапазон 102:1-8.","Intermediate 2","QUR-077","Tanzil Quran Text v1.1 102:1-8 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 102 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: итоговая обратная связь","Кари, исламский редактор и методист"
"QUR-079","Quran","Surah 103","79","Al-Asr / Аль-Аср: Каноническая карта","Ученик сможет находить границы суры и аяты по устойчивому локатору, не смешивая арабский текст с переводом; рабочий диапазон 103:1-3.","Beginner 1","Базовая диагностика Muslingo","Tanzil Quran Text v1.1 103:1-3 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 103 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; статическая схема","Редактор Корана и специалист по доступности"
"QUR-080","Quran","Surah 103","80","Al-Asr / Аль-Аср: Аудиокарта","Ученик сможет следить за последовательностью аятов по человеческой записи и возвращаться к точному месту после паузы; рабочий диапазон 103:1-3.","Beginner 1","QUR-079","Tanzil Quran Text v1.1 103:1-3 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 103 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен лицензированный звук","Квалифицированный кари, Hafs an Asim"
